,COMUNAS,BARRIOS,LUGAR_DEL_HECHO,N_VICTIMAS,pos x,pos y
161,7,FLORES - PARQUE CHACABUCO,AV. RIVADAVIA 7121,1,-58.46589308,-34.62955795
162,7,FLORES - PARQUE CHACABUCO,AV. FERNANDEZ DE LA CRUZ Y RIVERA INDARTE,1,-58.43614426,-34.6542464
163,4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,AV. PERITO MORENO Y FOURNIER,2,-58.41842777,-34.64979057
164,4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,AV. PERITO MORENO Y FOURNIER,2,-58.41842777,-34.64979057
165,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,AV. CASEROS 1429,1,-58.38332245,-34.6319325
166,6,CABALLITO,AV. GAONA Y FRAGATA SARMIENTO,1,-58.45475488,-34.61196327
167,9,LINIERS - MATADEROS - PARQUE AVELLANEDA,MOZART Y TANDIL,1,-58.48501341,-34.64742455
168,9,LINIERS - MATADEROS - PARQUE AVELLANEDA,MOZART Y COLECTORA AV. TTE. LUIS J DELLEPIANE,1,-58.47010988,-34.65872088
169,3,BALVANERA - SAN CRISTOBAL,24 DE NOVIEMBRE Y PAVON ,1,-58.4099756,-34.62873635
170,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,AV. GRAL. PAZ Y PEDRO DE MENDOZA,1,-58.48892175,-34.68359163
171,11,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,AV. GRAL. PAZ KM. 10,1,-58.52466448,-34.60325478
172,14,PALERMO,GODOY CRUZ 2651,1,-58.42554218,-34.57929036
173,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,3,-58.35881506,-34.61113641
174,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,3,-58.35881506,-34.61113641
